"Refs","Value","Footprint","Qty","DNP"
"C1","1uF","7Sigma:C_0402_1005Metric","1",""
"C2","10uF","7Sigma:C_0805_2012Metric","1",""
"C3","47uF","7Sigma:C_1210_3225Metric","1",""
"C4","1uF","7Sigma:C_0402_1005Metric","1",""
"C5","47uF","7Sigma:C_1210_3225Metric","1",""
"C6","100nF","7Sigma:C_0402_1005Metric","1",""
"C7","100nF","7Sigma:C_0402_1005Metric","1",""
"C8","100nF","7Sigma:C_0402_1005Metric","1",""
"C9","100nF","7Sigma:C_0402_1005Metric","1",""
"C10","100nF","7Sigma:C_0402_1005Metric","1",""
"C11","100nF","7Sigma:C_0402_1005Metric","1",""
"C12","10uF","7Sigma:C_0402_1005Metric","1",""
"C13","10uF","7Sigma:C_0402_1005Metric","1",""
"C14","1.2pF","7Sigma:C_0402_1005Metric","1",""
"C15","1.2pF","7Sigma:C_0402_1005Metric","1",""
"C16","12pF","7Sigma:C_0402_1005Metric","1",""
"C17","12pF","7Sigma:C_0402_1005Metric","1",""
"C18","100pF","7Sigma:C_0402_1005Metric","1",""
"C19","100nF","7Sigma:C_0402_1005Metric","1",""
"C20","100pF","7Sigma:C_0402_1005Metric","1",""
"C21","10uF","7Sigma:C_0805_2012Metric","1",""
"C22","100nF","7Sigma:C_0402_1005Metric","1",""
"C23","10uF","7Sigma:C_0805_2012Metric","1",""
"C24","1uF","7Sigma:C_0402_1005Metric","1",""
"C25","100nF","7Sigma:C_0402_1005Metric","1",""
"C26","100nF","7Sigma:C_0402_1005Metric","1",""
"C27","100nF","7Sigma:C_0402_1005Metric","1",""
"C28","100nF","7Sigma:C_0402_1005Metric","1",""
"C29","100nF","7Sigma:C_0402_1005Metric","1",""
"C30","100nF","7Sigma:C_0402_1005Metric","1",""
"C31","100nF","7Sigma:C_0402_1005Metric","1",""
"C32","100nF","7Sigma:C_0402_1005Metric","1",""
"C33","100pF","7Sigma:C_0402_1005Metric","1",""
"C34","100pF","7Sigma:C_0402_1005Metric","1",""
"C35","100pF","7Sigma:C_0402_1005Metric","1",""
"C36","100pF","7Sigma:C_0402_1005Metric","1",""
"C37","100pF","7Sigma:C_0402_1005Metric","1",""
"C38","100pF","7Sigma:C_0402_1005Metric","1",""
"C39","100pF","7Sigma:C_0402_1005Metric","1",""
"C40","100nF","7Sigma:C_0402_1005Metric","1",""
"C41","220pF","7Sigma:C_0402_1005Metric","1",""
"C42","47uF","7Sigma:C_1210_3225Metric","1",""
"C43","47uF","7Sigma:C_1210_3225Metric","1",""
"C44","47uF","7Sigma:C_1210_3225Metric","1",""
"C45","47uF","7Sigma:C_1210_3225Metric","1",""
"C46","100nF","7Sigma:C_0402_1005Metric","1",""
"C47","100nF","7Sigma:C_0402_1005Metric","1",""
"C48","100nF","7Sigma:C_0402_1005Metric","1",""
"C49","100nF","7Sigma:C_0402_1005Metric","1",""
"C50","100nF","7Sigma:C_0402_1005Metric","1",""
"C51","100nF","7Sigma:C_0402_1005Metric","1",""
"C52","10nF","7Sigma:C_0402_1005Metric","1",""
"C53","10nF","7Sigma:C_0402_1005Metric","1",""
"C54","100nF","7Sigma:C_0402_1005Metric","1",""
"C55","47uF","7Sigma:C_1210_3225Metric","1",""
"C56","47uF","7Sigma:C_1210_3225Metric","1",""
"C57","47uF","7Sigma:C_1210_3225Metric","1",""
"C62","33pF","7Sigma:C_0402_1005Metric","1",""
"C63","33pF","7Sigma:C_0402_1005Metric","1",""
"C64","1uF","7Sigma:C_0402_1005Metric","1",""
"C65","33pF","7Sigma:C_0402_1005Metric","1",""
"C66","100nF","7Sigma:C_0402_1005Metric","1",""
"C67","33pF","7Sigma:C_0402_1005Metric","1",""
"C68","33pF","7Sigma:C_0402_1005Metric","1",""
"C69","33pF","7Sigma:C_0402_1005Metric","1",""
"C70","1.2pF","7Sigma:C_0402_1005Metric","1","DNP"
"C71","1.2pF","7Sigma:C_0402_1005Metric","1","DNP"
"C78","47uF","7Sigma:C_1210_3225Metric","1",""
"C79","47uF","7Sigma:C_1210_3225Metric","1",""
"C80","10uF","7Sigma:C_0805_2012Metric","1",""
"C81","100nF","7Sigma:C_0402_1005Metric","1",""
"C82","100pF","7Sigma:C_0402_1005Metric","1",""
"C83","47uF","7Sigma:C_1210_3225Metric","1",""
"C84","10uF","7Sigma:C_0805_2012Metric","1",""
"C85","10uF","7Sigma:C_0805_2012Metric","1",""
"C86","10uF","7Sigma:C_0805_2012Metric","1",""
"C87","10uF","7Sigma:C_0805_2012Metric","1",""
"C90","100nF","7Sigma:C_0402_1005Metric","1",""
"C91","100nF","7Sigma:C_0402_1005Metric","1",""
"C92","100nF","7Sigma:C_0402_1005Metric","1",""
"C93","47uF","7Sigma:C_1210_3225Metric","1",""
"D1","SMAJ28CA","7Sigma:D_SMA","1",""
"D2","LTST-C281KRKT","7Sigma:LED_0402_1005Metric","1",""
"D3","LTST-C281KRKT","7Sigma:LED_0402_1005Metric","1",""
"D5","LTST-C281KRKT","7Sigma:LED_0402_1005Metric","1",""
"D6","SS34","7Sigma:D_SMA","1",""
"D8","LTST-C281KRKT","7Sigma:LED_0402_1005Metric","1",""
"D9","SS34","7Sigma:D_SMA","1",""
"D10","SMAJ28CA","7Sigma:D_SMA","1",""
"D11","SS34","7Sigma:D_SMA","1",""
"D12","5V1","7Sigma:D_SOD-123","1",""
"ENC1","Hammond_1551XFLGY","7Sigma:HAMMOND_1551XFLGY","1",""
"FB1","68nH","7Sigma:L_0603_1608Metric","1",""
"J1","USB_C_Receptacle_USB2.0_16P","7Sigma:USB-3.1-SMD_U262-161N-4BVC11","1",""
"J2","Conn_01x02","7Sigma:CONN-TH_DB301V-3.5-2P-GN","1",""
"J3","Conn_01x02","7Sigma:CONN-TH_DB301V-3.5-2P-GN","1",""
"J4","Conn_Coaxial","7Sigma:SMA-SMD_BWSMA-KE-P001","1",""
"J5","Conn_Coaxial","7Sigma:SMA-SMD_BWSMA-KE-P001","1",""
"J6","Conn_01x02","7Sigma:CONN-TH_DB301V-3.5-2P-GN","1",""
"J7","8P8C_LED_Shielded","7Sigma:RJ45-TH_RC01812","1",""
"J8","Conn_01x02","7Sigma:CONN-TH_DB301V-3.5-2P-GN","1",""
"J9","SIM_NANO_Socket","7Sigma:SIM-SMD_NANO-SIM-TL6P-H1.35","1",""
"J10","Conn_01x02","7Sigma:CONN-TH_DB301V-3.5-2P-GN","1",""
"K1","G6K-2F-Y-TR DC5","7Sigma:RELAY-SMD_G6K-2F-X-XX","1",""
"K2","G6K-2F-Y-TR DC5","7Sigma:RELAY-SMD_G6K-2F-X-XX","1",""
"L1","2.2nH","7Sigma:L_0402_1005Metric","1",""
"L2","2.2nH","7Sigma:L_0402_1005Metric","1",""
"L4","4.7uH","7Sigma:L_Changjiang_FTC404030S","1",""
"L5","4.7uH","7Sigma:L_Changjiang_FTC404030S","1",""
"L6","4.7uH","7Sigma:L_Changjiang_FTC404030S","1",""
"LP1","FIX-LEMB2-4.8V0-F","7Sigma:FIX-LEMB2-4.8V0-F","1",""
"LP2","FIX-LEMB2-4.8V0-F","7Sigma:FIX-LEMB2-4.8V0-F","1",""
"LP3","FIX-LEMB2-4.8V0-F","7Sigma:FIX-LEMB2-4.8V0-F","1",""
"Q1","AO3401A","7Sigma:SOT-23-3","1",""
"Q2","AO3401A","7Sigma:SOT-23-3","1",""
"Q7","BC817-40-7-F","7Sigma:SOT-23-3","1",""
"Q8","BC817-40-7-F","7Sigma:SOT-23-3","1",""
"Q11","SI2308A","7Sigma:SOT-23-3","1",""
"Q12","SI2308A","7Sigma:SOT-23-3","1",""
"Q13","SI2308A","7Sigma:SOT-23-3","1",""
"Q14","SI2308A","7Sigma:SOT-23-3","1",""
"Q15","SI2308A","7Sigma:SOT-23-3","1",""
"Q16","SI2308A","7Sigma:SOT-23-3","1",""
"Q17","SI2308A","7Sigma:SOT-23-3","1",""
"Q18","SI2308A","7Sigma:SOT-23-3","1",""
"R1","120R","7Sigma:R_0402_1005Metric","1","DNP"
"R2","22K","7Sigma:R_0402_1005Metric","1",""
"R3","1K","7Sigma:R_0402_1005Metric","1",""
"R4","1K","7Sigma:R_0402_1005Metric","1",""
"R5","1K","7Sigma:R_0402_1005Metric","1",""
"R6","22K","7Sigma:R_0402_1005Metric","1",""
"R7","118K","7Sigma:R_0402_1005Metric","1",""
"R8","5K1","7Sigma:R_0402_1005Metric","1",""
"R9","5K1","7Sigma:R_0402_1005Metric","1",""
"R10","22R","7Sigma:R_0402_1005Metric","1",""
"R11","22R","7Sigma:R_0402_1005Metric","1",""
"R12","22R","7Sigma:R_0402_1005Metric","1",""
"R13","22R","7Sigma:R_0402_1005Metric","1",""
"R14","10K","7Sigma:R_0402_1005Metric","1","DNP"
"R15","22R","7Sigma:R_0402_1005Metric","1",""
"R16","22R","7Sigma:R_0402_1005Metric","1",""
"R17","22R","7Sigma:R_0402_1005Metric","1",""
"R18","120R","7Sigma:R_0402_1005Metric","1",""
"R20","1K","7Sigma:R_0402_1005Metric","1",""
"R21","10K","7Sigma:R_0402_1005Metric","1",""
"R22","10K","7Sigma:R_0402_1005Metric","1",""
"R25","100K","7Sigma:R_0402_1005Metric","1",""
"R26","100K","7Sigma:R_0402_1005Metric","1",""
"R27","100K","7Sigma:R_0402_1005Metric","1",""
"R28","100K","7Sigma:R_0402_1005Metric","1",""
"R29","1K","7Sigma:R_0402_1005Metric","1",""
"R30","22K","7Sigma:R_0402_1005Metric","1",""
"R31","10K","7Sigma:R_0402_1005Metric","1",""
"R33","100K","7Sigma:R_0402_1005Metric","1",""
"R34","100K","7Sigma:R_0402_1005Metric","1",""
"R35","10K","7Sigma:R_0402_1005Metric","1",""
"R36","10K","7Sigma:R_0402_1005Metric","1",""
"R37","374K","7Sigma:R_0402_1005Metric","1",""
"R38","374K","7Sigma:R_0402_1005Metric","1",""
"R39","100K","7Sigma:R_0402_1005Metric","1",""
"R40","374K","7Sigma:R_0402_1005Metric","1",""
"R42","5K1","7Sigma:R_0402_1005Metric","1",""
"R43","5K1","7Sigma:R_0402_1005Metric","1",""
"R44","120R","7Sigma:R_0402_1005Metric","1",""
"R45","10K","7Sigma:R_0402_1005Metric","1",""
"R46","0R","7Sigma:R_0402_1005Metric","1",""
"R47","100K","7Sigma:R_0402_1005Metric","1",""
"R48","22K","7Sigma:R_0402_1005Metric","1",""
"R49","5K1","7Sigma:R_0402_1005Metric","1",""
"R50","120R","7Sigma:R_0805_2012Metric","1",""
"R51","10K","7Sigma:R_0402_1005Metric","1",""
"R52","10K","7Sigma:R_0402_1005Metric","1",""
"R55","22K","7Sigma:R_0402_1005Metric","1",""
"R56","22K","7Sigma:R_0402_1005Metric","1",""
"R57","1K","7Sigma:R_0402_1005Metric","1",""
"R58","162K","7Sigma:R_0402_1005Metric","1",""
"R59","22K","7Sigma:R_0402_1005Metric","1",""
"R60","1K","7Sigma:R_0402_1005Metric","1",""
"R61","10K","7Sigma:R_0402_1005Metric","1",""
"R62","100K","7Sigma:R_0402_1005Metric","1",""
"R69","10K","7Sigma:R_0402_1005Metric","1",""
"R70","100K","7Sigma:R_0402_1005Metric","1",""
"R71","22K","7Sigma:R_0402_1005Metric","1",""
"R72","100K","7Sigma:R_0402_1005Metric","1",""
"SW1","TS24CA","7Sigma:SW-SMD_TS24CA","1",""
"SW2","KH-6X6X7H-STM","7Sigma:SW-SMD_4P-L6.0-W6.0-P4.50-LS9.0-H7.0","1",""
"TP1","TestPoint","7Sigma:TestPoint_Pad_D1.5mm","1",""
"TP2","TestPoint","7Sigma:TestPoint_Pad_D1.5mm","1",""
"TP7","TestPoint","7Sigma:TestPoint_Pad_D1.5mm","1",""
"TP8","TestPoint","7Sigma:TestPoint_Pad_D1.5mm","1",""
"TP9","TestPoint","7Sigma:TestPoint_Pad_D1.5mm","1",""
"TP10","TestPoint","7Sigma:TestPoint_Pad_D1.5mm","1",""
"TP11","TestPoint","7Sigma:TestPoint_Pad_D1.5mm","1",""
"TP12","TestPoint","7Sigma:TestPoint_Pad_D1.5mm","1",""
"TP13","TestPoint","7Sigma:TestPoint_Pad_D1.5mm","1",""
"TP14","TestPoint","7Sigma:TestPoint_Pad_D1.5mm","1",""
"TP15","TestPoint","7Sigma:TestPoint_Pad_D1.5mm","1",""
"TP16","TestPoint","7Sigma:TestPoint_Pad_D1.5mm","1",""
"TP17","TestPoint","7Sigma:TestPoint_Pad_D1.5mm","1",""
"TP18","TestPoint","7Sigma:TestPoint_Pad_D1.5mm","1",""
"TP19","TestPoint","7Sigma:TestPoint_Pad_D1.5mm","1",""
"TP20","TestPoint","7Sigma:TestPoint_Pad_D1.5mm","1",""
"TP21","TestPoint","7Sigma:TestPoint_Pad_D1.5mm","1",""
"TP22","TestPoint","7Sigma:TestPoint_Pad_D1.5mm","1",""
"TP23","TestPoint","7Sigma:TestPoint_Pad_D1.5mm","1",""
"TP24","TestPoint","7Sigma:TestPoint_Pad_D1.5mm","1",""
"U1","ESP32-C6","7Sigma:VQFN-40-1EP_5x5mm_P0.4mm_EP3.3x3.3mm_ThermalVias","1",""
"U2","SP3485","7Sigma:SOIC-8_3.9x4.9mm_P1.27mm","1",""
"U3","W25Q64JVSSIQ","7Sigma:SOIC-8_5.3x5.3mm_P1.27mm","1",""
"U4","TPS54302DDCR","7Sigma:SOT-23-6","1",""
"U5","PCF8574RGTR(UMW)","7Sigma:QFN-16-1EP_3x3mm_P0.5mm_EP1.7x1.7mm_ThermalVias","1",""
"U6","PCF8574RGTR(UMW)","7Sigma:QFN-16-1EP_3x3mm_P0.5mm_EP1.7x1.7mm_ThermalVias","1",""
"U7","TMUX1208RSVR","7Sigma:UQFN-16_1.8x2.6mm_P0.4mm","1",""
"U8","TMUX1208RSVR","7Sigma:UQFN-16_1.8x2.6mm_P0.4mm","1",""
"U9","TMUX1208RSVR","7Sigma:UQFN-16_1.8x2.6mm_P0.4mm","1",""
"U10","TMUX1208RSVR","7Sigma:UQFN-16_1.8x2.6mm_P0.4mm","1",""
"U14","TPS54302DDCR","7Sigma:SOT-23-6","1",""
"U15","TXS0104ERGYR","7Sigma:VQFN-14_L3.5-W3.5-P0.50-BL-EP-ThermalVias","1",""
"U16","LE910R1","7Sigma:XCVR_LE910R1-EU","1",""
"U17","WS2812","7Sigma:LED-SMD_4P-L1.3-W1.3-P0.80_WS2812E-1313","1",""
"U18","WS2812","7Sigma:LED-SMD_4P-L1.3-W1.3-P0.80_WS2812E-1313","1",""
"U19","TPS54302DDCR","7Sigma:SOT-23-6","1",""
"U20","WS2812","7Sigma:LED-SMD_4P-L1.3-W1.3-P0.80_WS2812E-1313","1",""
"Y1","40MHz","7Sigma:Crystal_SMD_3225-4Pin_3.2x2.5mm","1",""
